budget_k_pct,budget_k_nodes,strategy,transmissions_blocked,transmission_block_rate_pct,infections_prevented,prevention_rate_pct,selected_index_cases,selected_contacts,sars_pos_contacts_in_selected,mean_infected_per_hh,reduction_vs_baseline_pct,precision_k_pct,transmission_coverage,dynamic_duration_coverage_pct,dynamic_contact_event_coverage_pct
1,3,degree,7.0,2.4,7.0,4.6,2.0,1.0,1.0,3.36,1.4,100.0,2.4,11.5,7.9
1,3,gnn,6.0,2.1,6.0,3.9,3.0,0.0,0.0,3.29,3.4,100.0,2.1,7.6,5.1
1,3,random,4.95,1.7,4.97,3.2,0.8,2.2,1.35,3.38,0.8,71.7,1.7,1.8,1.9
1,3,betweenness,1.0,0.3,1.0,0.7,2.0,1.0,0.0,3.38,0.9,66.7,0.3,4.0,3.5
5,17,gnn,41.0,14.3,41.0,26.8,17.0,0.0,0.0,2.66,22.1,100.0,14.3,15.2,14.3
5,17,random,27.73,9.7,26.6,17.4,4.37,12.63,7.67,3.16,7.4,70.8,9.7,9.6,9.7
5,17,betweenness,18.0,6.3,18.0,11.8,6.0,11.0,5.0,3.12,8.5,64.7,6.3,7.0,7.0
5,17,degree,24.0,8.4,16.0,10.5,3.0,14.0,8.0,3.19,6.6,64.7,8.4,38.8,29.8
10,34,gnn,75.0,26.2,75.0,49.0,34.0,0.0,0.0,1.96,42.7,100.0,26.2,17.3,17.4
10,34,random,54.83,19.2,50.4,32.9,8.87,25.13,15.19,2.84,16.6,70.8,19.2,19.0,19.1
10,34,betweenness,47.0,16.4,47.0,30.7,11.0,23.0,13.0,2.72,20.3,70.6,16.4,8.3,8.2
10,34,degree,49.0,17.1,34.0,22.2,6.0,28.0,16.0,2.92,14.5,64.7,17.1,56.9,48.3
